"spec","resp","x1","x2","x3","x4"
"PFOJ4",13.4802604302656,5.67958375023583,5.78638916682388,0,"B"
"IGi6r",13.9423596724932,13.8299194075077,11.2199462716718,1,"B"
"lG5Uq",16.1943530533017,7.20991349997905,6.80660899998603,1,"B"
"ECxMd",21.1077506115493,18.2270407220576,9.48469381470504,1,"C"
"QV6s3",14.1288024824533,8.79612092152799,5.864080614352,1,"A"
"8vSfR",15.5765505855222,6.30849084479783,6.20566056319855,1,"B"
"Z8LSz",16.5105171782987,5.72083566492227,5.81389044328151,0,"B"
"GpvEQ",15.4338796756993,6.47315309123667,6.31543539415778,0,"B"
"DTtex",18.6747614292848,16.3842251633177,10.9228167755451,1,"A"
"2QAPn",19.0682938184234,9.97281696025913,8.64854464017275,0,"B"
"qrT9y",18.2988060937231,9.85031500570336,8.56687667046891,1,"B"
"5lQLI",18.129064486913,8.53811677619407,7.69207785079604,1,"B"
"t24PW",15.1831940451917,3.89703986963905,4.59802657975937,1,"B"
"hrqW7",12.6354483563803,5.90050030529646,5.93366687019764,0,"B"
"PFOJ4",14.3855755097036,6.10321051208442,6.06880700805628,1,"B"
"E2seo",15.7673324073438,7.29664372231342,4.86442914820895,1,"A"
"ZEFWC",20.2376906823669,11.8155694560351,5.21037963735671,1,"C"
"h4b2N",22.282176705296,19.2691930537251,10.1794620358167,1,"C"
"GpvEQ",15.2613982247145,10.1663402981751,8.77756019878339,0,"B"
"NnY6i",18.4556455813893,10.6495091497802,7.09967276652014,1,"A"
"ig1di",16.116798394143,6.9982722253603,6.66551481690687,1,"B"
"DjglD",13.2463496204192,2.66835344001845,3.77890229334564,0,"B"
"ZEFWC",18.5622469324341,11.9594674875814,5.30631165838761,1,"C"
"IXCZ4",17.8686543822187,12.7447479678714,8.49649864524758,0,"A"
"2QAPn",19.4287392075385,11.1373571833363,9.42490478889083,1,"B"
"nBfWn",13.4375803507253,5.74399328666475,5.8293288577765,1,"B"
"NnY6i",17.8840341099807,8.87743592341281,7.91829061560854,1,"B"
"PFOJ4",12.2820104283383,8.02818738708948,7.35212492472632,1,"B"
"HIXuv",17.3242283405707,10.6355986605089,7.09039910700593,1,"A"
"hrqW7",16.620240697607,13.9305670746125,6.6203780497417,1,"C"
"s97Ws",20.8693631649862,14.5509816781327,9.70065445208847,1,"A"
"HwPRa",13.5475426959287,6.17970966954787,6.11980644636525,0,"B"
"KUmrf",16.9725890470926,7.71355508296088,2.47570338864058,0,"C"
"wnNfy",14.9684068357266,8.13230531097866,7.42153687398578,1,"B"
"5lQLI",15.6671541805842,7.47849475333626,6.98566316889084,0,"B"
"d1JUw",15.882862438681,6.04996225262288,6.03330816841526,1,"B"
"O6nyn",12.2323607459334,3.27278187169057,4.18185458112704,1,"B"
"IGi6r",16.3721380437427,8.16405257655881,7.44270171770588,1,"B"
"NnY6i",16.9280381024038,9.16290779665721,8.10860519777148,1,"B"
"2QAPn",16.4825335384785,6.00665161084841,6.00443440723227,1,"B"
"LResN",14.4727555829103,5.6728002150621,5.7818668100414,1,"B"
"QV6s3",17.3084325991759,13.13255660185,8.75503773456664,1,"A"
"IXCZ4",17.1866652837613,9.57503026634285,8.38335351089524,1,"B"
"1Q0gb",15.7351691741724,5.46223549934021,5.64149033289347,0,"B"
"FHkSs",15.6477502014727,11.3988713455408,7.59924756369387,0,"A"
"ECxMd",17.7125637211575,10.4445756320859,8.96305042139057,1,"B"
"VYgrJ",17.027149808259,14.7251805903436,7.15012039356239,1,"C"
"s97Ws",19.9580581757646,12.3281231028754,8.21874873525025,0,"A"
"xl04p",18.999438471417,10.4231376690772,6.94875844605145,1,"A"
"UD6EG",22.2876114140278,12.2045296806299,10.13635312042,1,"B"
"IGi6r",16.9671103083938,12.5066308396998,10.3377538931332,1,"B"
"j3amm",15.4210407936919,12.1113377153738,8.07422514358254,1,"A"
"I2N7x",19.5774684315118,9.38623304222872,6.25748869481914,0,"A"
"xjPb6",12.9099735683787,4.3122906410359,4.87486042735727,1,"B"
"wnNfy",23.4693028106621,17.4979000646201,8.99860004308007,1,"C"
"VFE0G",16.1452387247741,5.96171970383987,5.97447980255991,1,"B"
"SVJjZ",17.0416050202439,7.25495941341493,6.83663960894329,1,"B"
"8Z0gF",13.9492611156064,8.25959329760887,7.50639553173925,0,"B"
"IGi6r",12.6359870225564,8.47849242633462,5.65232828422308,1,"A"
"FLGIL",17.1033944430067,11.820958038991,9.88063869266065,1,"B"
"xjPb6",9.87996313764006,1.59796936169274,3.06531290779516,1,"B"
"VOhJb",22.4849906643485,16.0772486988036,8.05149913253571,1,"C"
"lG5Uq",19.3136421808255,10.5301226681907,4.35341511212717,1,"C"
"DTtex",19.0243342458512,14.0810061770379,9.38733745135861,1,"A"
"FLGIL",20.7948832659891,19.6710798208533,10.4473865472356,1,"C"
"8Z0gF",12.7481989840827,6.25500565869219,6.17000377246146,0,"B"
"FLGIL",20.675134860278,13.8690769224936,11.2460512816624,1,"B"
"j3amm",12.0467193028385,5.04696266188396,5.36464177458931,1,"B"
"IXCZ4",13.6114994275217,9.59155043577684,8.39436695718456,0,"B"
"yzITQ",11.4247979143113,2.34680265829356,3.56453510552904,0,"B"
"LResN",14.1600813325327,5.72491622635228,5.81661081756819,0,"B"
"2QAPn",18.7085546210379,12.8043402472363,10.5362268314909,0,"B"
"QV6s3",18.8902418362578,15.7264516943602,7.81763446290679,1,"C"
"ECxMd",18.9450961029995,12.8765543926543,10.5843695951028,1,"B"
"E2seo",13.2186185066178,4.62607517532458,5.08405011688305,1,"B"
"yzITQ",18.3719131416412,5.73038484313544,5.8202565620903,0,"B"
"DNhT4",20.0871123182045,17.5454963937232,9.0303309291488,0,"C"
"s97Ws",21.4742227879334,16.5119997390047,8.34133315933645,0,"C"
"WbRr8",16.8048112417261,9.57196168174112,6.38130778782741,1,"A"
"nBfWn",11.2963511098522,5.5035378970497,5.6690252646998,1,"B"
"zDAid",19.1831308140711,12.3887647795851,10.2591765197234,1,"B"
"UD6EG",18.7135160933283,10.6586078171578,9.10573854477186,1,"B"
"QP99d",20.8234878112727,17.7445644589276,9.16304297261841,0,"C"
"FLGIL",16.375000759913,13.1800926649859,10.7867284433239,1,"B"
"Pe03X",21.0328553748219,9.18731576364521,8.12487717576348,1,"B"
"t24PW",16.8003092644693,6.05358671622026,6.03572447748017,1,"B"
"WbRr8",18.6168015882106,8.13913760011349,7.42609173340899,1,"B"
"VYgrJ",13.9357848470791,7.36834355997506,6.91222903998337,1,"B"
"DTtex",16.2345963913614,12.4395511751652,10.2930341167768,1,"B"
"HwPRa",17.4492550318986,13.8849112510325,6.58994083402166,0,"C"
"KUmrf",15.8068572383658,11.3103635358196,4.87357569054637,0,"C"
"4vywp",15.9644039186442,6.19628535674887,6.13085690449924,1,"B"
"IXCZ4",14.0123543235909,7.99690077667411,7.3312671844494,0,"B"
"HIXuv",17.2872927165267,7.51142818453691,7.00761878969128,1,"B"
"1CKBB",20.7714428646941,8.57996680084611,7.71997786723074,1,"B"
"QhG5i",19.5064706579981,9.28266760722163,6.18844507148109,0,"A"
"4VUhI",15.013156563661,7.68619987850252,5.12413325233501,0,"A"
"FHkSs",18.9472730932314,11.4322878587986,7.62152523919906,1,"A"
"DjglD",16.4935728820817,7.42124069930475,4.9474937995365,0,"A"
"nBfWn",16.7165995106705,15.0960465286363,7.39736435242422,1,"C"
"8vSfR",18.5273813828372,6.70655674614795,6.4710378307653,1,"B"
"2QAPn",20.251926781446,13.8684503454756,11.2456335636504,0,"B"
"bUKxH",20.9956951238711,18.6846508577664,9.78976723851094,1,"C"
"j3amm",12.5359144419248,4.17189345606246,4.78126230404164,0,"B"
"S9s7C",23.0122877356899,15.3434943999569,10.2289962666379,1,"A"
"s97Ws",21.0358979621771,11.69427521664,9.79618347775997,1,"B"
"xl04p",20.9890835309535,11.7635874674903,7.84239164499355,1,"A"
"mO9zi",19.6034065369217,7.4140894835022,6.9427263223348,1,"B"
"IGi6r",16.1858005828554,13.1203795375149,8.74691969167661,1,"A"
"KUmrf",16.4792415915758,8.19705478399241,2.7980365226616,0,"C"
"VYgrJ",17.1135846597413,7.36800681384321,6.91200454256214,1,"B"
"zDAid",20.0574719487077,11.5535409480974,9.70236063206496,1,"B"
"j3amm",11.320473665862,4.48161654620166,4.98774436413444,0,"B"
"SVJjZ",12.9877684730986,3.99385928725971,4.66257285817314,1,"B"
"4VUhI",16.2694593266784,4.93432944476648,5.28955296317766,1,"B"
"4prqh",17.0870321810928,8.31365351846903,7.54243567897935,1,"B"
"Dhk8c",11.6776985357576,4.31366897771731,4.8757793184782,0,"B"
"fYnKv",16.7844961669099,9.41944202429043,8.27962801619362,1,"B"
"xjPb6",12.8032042513899,5.46466052064563,5.64310701376375,1,"B"
"j3amm",8.80606956426185,7.33345468519825,4.88896979013217,1,"A"
"GpvEQ",17.5937697871726,6.68680000253396,6.45786666835597,1,"B"
"ig1di",21.0476282432031,12.9703627116222,8.64690847441481,1,"A"
"WeYYL",20.2891788124565,7.30288312949464,6.86858875299643,1,"B"
"lG5Uq",15.116301036514,6.53524776922939,6.35683184615293,0,"B"
"lMgHl",17.3267791300505,9.32893749075568,8.21929166050379,1,"B"
"YjWv6",17.5248361846847,11.9542068878942,5.30280459192948,0,"C"
"PFOJ4",14.311510494329,7.59237983667239,7.0615865577816,0,"B"
"HwPRa",14.9809720790036,5.68406842766776,5.78937895177851,1,"B"
"VYgrJ",18.5917299327599,12.5377116326462,8.35847442176415,1,"A"
"s97Ws",21.1135756660994,10.3213970921728,6.88093139478185,1,"A"
"WbRr8",17.6982784557315,7.29721497687875,4.86480998458584,1,"A"
"WeYYL",18.772979746121,8.64268194191228,7.76178796127485,1,"B"
"VYgrJ",16.8304709408929,7.863559424274,7.242372949516,1,"B"
"VOhJb",17.152665555477,12.7347906775912,5.82319378506077,1,"C"
"Z8LSz",16.1545548322656,13.1720170580741,6.1146780387161,1,"C"
"4VUhI",14.7104544863777,6.72276881658112,4.48184587772075,1,"A"
"SVJjZ",15.247457515336,5.0777977267022,5.38519848446813,1,"B"
"cetY5",13.6298297226964,9.55800339580933,6.37200226387289,0,"A"
"6AFuE",16.1044518219838,5.93686551153208,5.95791034102139,0,"B"
"lG5Uq",16.9519747061747,13.8393224255661,6.5595482837107,0,"C"
"QV6s3",15.6041062975829,11.3672822045045,9.57818813633634,1,"B"
"xJCV1",14.9828318041188,9.36565141592814,6.24376761061876,0,"A"
"QhG5i",19.2452369865099,12.4847073993574,5.65647159957163,0,"C"
"2QAPn",18.9766112772238,13.5261060719697,11.0174040479798,1,"B"
"HwPRa",16.195482052708,9.62154519200339,8.41436346133559,1,"B"
"Pe03X",18.1503115607492,9.25742327427863,8.17161551618575,0,"B"
"dGcVZ",11.8874290893281,6.01374746041586,6.00916497361057,0,"B"
"hrqW7",16.5582224072557,8.1012409261296,7.4008272840864,1,"B"
"qrT9y",18.5651515575747,12.0707559895904,10.0471706597269,1,"B"
"4prqh",19.4472433424634,15.4435853537228,7.62905690248189,1,"C"
"HIXuv",15.9964415451543,9.20429810956065,6.1361987397071,1,"A"
"nBfWn",13.6139637821026,8.785716487975,5.85714432531667,1,"A"
"1Q0gb",19.0198357505354,13.8462900538755,6.56419336925035,1,"C"
"I2N7x",17.7300182244173,11.8866491735873,7.92443278239152,0,"A"
"PFOJ4",16.4079690076372,13.6875120506072,6.45834136707149,0,"C"
"4prqh",21.9873062097675,20.4327617451609,10.9551744967739,1,"C"
"FLGIL",21.6041470269983,18.0246405434727,12.0164270289818,1,"A"
"wnNfy",20.4835505877208,16.6492956789107,8.43286378594046,1,"C"
"KUmrf",14.5797904843256,5.23307739295579,5.48871826197053,0,"B"
"IXCZ4",12.8491149820913,6.76153468477102,6.50768978984734,0,"B"
"GpvEQ",19.157984862302,14.7711181234055,7.18074541560369,0,"C"
"GpvEQ",18.8807636099838,11.9795262804985,7.98635085366564,1,"A"
"GpvEQ",17.6654834162281,9.20758005089296,8.13838670059531,1,"B"
"RLdON",14.7765021440816,5.89315374137185,5.92876916091457,0,"B"
"IGi6r",16.070276110372,17.0137856551926,11.3425237701284,1,"A"
"UD6EG",21.4405063724263,12.8260383387468,10.5506922258312,1,"B"
"WeYYL",16.5036326842194,4.89896510590463,5.26597673726975,1,"B"
"lG5Uq",13.944424510113,5.76583635065108,5.84389090043406,0,"B"
"VOhJb",16.0994813088134,10.743769545871,7.16251303058067,1,"A"
"FHkSs",20.5481843443301,13.3400608596098,8.8933739064065,1,"A"
"VFE0G",16.9251548832581,9.78157847956123,6.52105231970749,1,"A"
"DNhT4",14.7334711361443,5.21211705392446,5.47474470261631,0,"B"
"YWiuF",20.1542450408714,9.40309902776246,8.26873268517497,1,"B"
"QhG5i",19.6073562996538,11.7643048431153,7.84286989541023,1,"A"
"VOhJb",15.0162141170358,9.02945310674609,8.01963540449739,1,"B"
"ECxMd",16.7074475933062,11.0614491808031,7.37429945386875,1,"A"
"iNXvu",17.3795299729089,8.27393957006231,7.51595971337488,1,"B"
"QhG5i",23.701938282885,14.4971479018189,6.99809860121261,1,"C"
"VOhJb",22.4216665794967,15.9209438782935,7.94729591886231,1,"C"
"fYnKv",17.3995373604766,7.11906413437635,6.7460427562509,1,"B"
"Dhk8c",17.6744536245787,9.21110764952016,6.14073843301344,1,"A"
"iNXvu",15.9283471953268,7.78182706909867,7.18788471273244,1,"B"
"FLGIL",15.1992943520336,9.79731084551355,8.5315405636757,1,"B"
"IXCZ4",16.8011683058334,12.1591176113432,8.10607840756211,0,"A"
"GpvEQ",15.7887418123181,6.93266339421758,6.62177559614505,0,"B"
"h4b2N",19.1182590799738,13.0865129478572,10.7243419652381,1,"B"
"2QAPn",18.7286706780551,14.1908018456761,9.46053456378406,0,"A"
"WeYYL",19.3388867792479,11.7936060000886,7.86240400005904,1,"A"
"YWiuF",17.468521424561,10.1775793544224,8.78505290294824,0,"B"
"FLGIL",21.5569237755333,19.8198481640455,10.546565442697,1,"C"
"h4b2N",17.884225281671,13.7312094427245,9.15413962848299,1,"A"
"UD6EG",23.758824278792,18.9572785224878,9.97151901499189,1,"C"
"VYgrJ",21.4141592532795,16.8882298089522,8.59215320596814,0,"C"
"YjWv6",16.8755042362119,7.62898276390117,7.08598850926744,0,"B"
"QP99d",15.7209883862787,8.7834529470328,5.85563529802186,0,"A"
"2UY7c",10.7616385398907,3.88271855353248,2.58847903568832,0,"A"
"W5RPx",22.5006886015355,12.1524537657095,10.1016358438063,1,"B"
"NnY6i",17.8619703325281,9.61920916436532,8.41280610957688,1,"B"
"6AFuE",17.2197906643327,7.49871238535464,6.99914159023642,1,"B"
"iNXvu",17.7020664080802,10.0793847657136,6.71958984380907,1,"A"
